Nama,Rating,Waktu,Review
Joko Istanto,5,2025-05-15 08:06:35,"pesanan cukup cepat diterima, driver ramah. Joss"
Kunto Baskoro,5,2025-05-08 08:24:17,selamat siang om kena apa jogja kita bisnis resto tdk bisa di pakai terima kasih
Rayyane D. Abrianputeri,5,2025-05-08 01:34:25,oke juga ini aplikasinya untuk di jogja.. cepet dapet drivernya..
Andri dwi,2,2025-05-05 14:28:03,cukup kecewa saja pas lagi order food di batalin setelah di ambil tapi habis itu di batalin dengan alasan tidak bawa chas banyak. kalau tidak bawa chas banyak jangan di ambil habis itu di batalin.
Kg santri45,5,2025-04-28 06:26:48,sangan membantu untuk anak2 yatim semoga Allah akan membalas kebaikannya aaamin
Mirza Firdaus,5,2025-04-22 22:19:27,mantap
Hilal Hamzah basyaiban,5,2025-04-22 05:43:26,ok
Doni Seda,1,2025-04-21 21:07:00,dimana bonus 100ribu untuk pengguna barunya ? hoax nih
Erik Kurniawan,5,2025-04-19 23:28:23,"semoga Jogja Kita makin maju dan berkembang, tapi kalo suatu saat sudah terkenal jangan sombong ya hehe, selalu care dan adil terutama sama resto dan driver, jangan cuma mengutamakan kepentingan pribadi dan konsumen saja kayak aplikasi2 lain yg masih berstatement konsumen adalah raja, tapi membiarkan rakyat kecil menderita hehe"
Risjan 62,1,2025-04-15 10:50:04,penipu jangan donlot ga sesuai promo
Giwang Yogaswara,1,2025-04-12 17:08:30,"penipuan, promo bonus saldo 100.000 nyata nya cuman dapet point 50.000 dan gak berguna"
Adzlan Fahmi Abdillah,1,2025-04-03 08:15:18,verifikasi gak masuk2
markusnur poles,5,2025-03-26 07:26:37,baik
